model,task,from_lang,to_lang,success,valid,bleu,meteor,rouge1,rouge2,rougeL,rougeLsum,chrF,ter,wer
deepseekcoder7b,bit_ops,py,c,1.0,0.0,0.13027476666406862,0.3624174217584271,0.15286624203821655,0.038461538461538464,0.10191082802547771,0.15286624203821655,27.217824690951215,198.0,2.0202020202020203
codegeex4,str_interp,c,java,1.0,1.0,0.26015533733929297,0.6878220083600661,0.3428571428571428,0.18181818181818182,0.3428571428571428,0.3428571428571428,42.624200695390314,130.76923076923077,1.4166666666666667
yicoder2b,str_interp,cpp,go,1.0,1.0,0.29218178802610956,0.6480735211632221,0.4788732394366197,0.31884057971014496,0.4788732394366197,0.4788732394366197,47.962883536252605,115.99999999999999,1.3043478260869565
codeqwen,int_arith,go,cpp,1.0,1.0,0.23920092599538342,0.6795558368631969,0.3863636363636364,0.20610687022900764,0.37878787878787884,0.37878787878787884,46.13840270934428,214.70588235294116,2.1791044776119404
magicoder7b,file_size,java,rs,1.0,1.0,0.1570984843494271,0.2570396553058645,0.2142857142857143,0.07317073170731707,0.2142857142857143,0.2142857142857143,28.29351403467446,87.93103448275862,0.8867924528301887
codegemma7b,file_exists,c,py,1.0,1.0,0.11564019029831887,0.4007731226195214,0.06666666666666667,0.034482758620689655,0.06666666666666667,0.06666666666666667,38.11458728644854,866.6666666666666,17.333333333333332
codellama7b,int_factors,rs,c,1.0,1.0,0.018036612193123004,0.149373467762139,0.21969696969696972,0.08396946564885495,0.16666666666666666,0.21969696969696972,13.160822152803922,92.12962962962963,0.9146919431279621
deepseekcoderv2,logic_ops,rs,c,1.0,0.0,0.19648034888996418,0.5198845813977044,0.36363636363636365,0.14432989690721648,0.303030303030303,0.36363636363636365,37.79025900871736,203.57142857142856,2.0
magicoder7b,int_factors,c,cpp,1.0,0.0,0.31879631623480575,0.41623414742708303,0.448,0.16129032258064518,0.344,0.448,44.61775008853156,99.06542056074767,1.099009900990099
codellama7b,int_cmp,cpp,rs,1.0,1.0,0.4630462935046817,0.7222143278659053,0.5909090909090909,0.4482758620689655,0.5909090909090909,0.5909090909090909,55.25173516604007,58.22784810126582,0.5897435897435898
granitecode3b,file_size,cpp,js,1.0,1.0,0.12971464052249798,0.4915905356816865,0.04878048780487805,0.0,0.04878048780487805,0.04878048780487805,30.692517627248005,471.42857142857144,6.0
codegemma7b,dir_make,cpp,c,1.0,0.0,0.29633134644104947,0.41981282317216184,0.3917525773195876,0.15625,0.288659793814433,0.3917525773195876,37.66063958567102,98.83720930232558,1.1
yicoder2b,bit_ops,js,rs,1.0,0.0,0.2891956312685308,0.560209258395273,0.4268292682926829,0.09876543209876544,0.2682926829268293,0.4268292682926829,36.77187740260277,119.6969696969697,1.2769230769230768
stablecode,str_prepend,js,go,1.0,1.0,0.09878081678043152,0.4442014901198574,0.23529411764705882,0.12244897959183672,0.23529411764705882,0.23529411764705882,18.492932011660958,411.1111111111111,4.625
granitecode3b,str_match,cpp,c,1.0,0.0,0.09107743027449794,0.26426716550451096,0.21250000000000005,0.02531645569620253,0.17500000000000002,0.2,16.60180554799731,89.38053097345133,0.9166666666666666
magicoder7b,str_interp,py,c,1.0,1.0,0.27895118023111604,0.7334963325183375,0.42622950819672134,0.23728813559322035,0.3278688524590164,0.42622950819672134,49.6935267978834,163.1578947368421,1.7777777777777777
codeqwen,logic_ops,c,cpp,1.0,1.0,0.5137972991508382,0.6660386057297424,0.5892857142857143,0.4000000000000001,0.5714285714285714,0.5892857142857143,48.28399085748691,64.28571428571429,0.6545454545454545
yicoder9b,str_substring,py,c,1.0,1.0,0.10283129397837339,0.20860755628382394,0.28095238095238095,0.057416267942583726,0.14285714285714288,0.27142857142857146,26.916722705912072,89.24731182795699,0.9044117647058824
yicoder2b,int_cmp,c,rs,1.0,1.0,0.4837522361123843,0.5522381618789706,0.5698324022346368,0.4406779661016949,0.5698324022346368,0.5698324022346368,57.99240369995693,68.35443037974683,0.7051282051282052
stablecode,file_size,c,rs,1.0,0.0,0.11756217250633744,0.2412349381875543,0.25316455696202533,0.051948051948051945,0.22784810126582278,0.25316455696202533,21.22993508076396,86.20689655172413,0.8867924528301887
yicoder9b,bit_ops,py,go,1.0,0.0,0.2081296411826535,0.381725136250317,0.12568306010928962,0.03846153846153846,0.10382513661202186,0.12568306010928962,30.796296255361238,233.65384615384616,2.343137254901961
